image,audio,order,title,description
I028,C028,11,《貓形東海道五十三次》,"歌川廣重的《東海道五十三次》作品風格寫實抒情，筆觸細膩柔和，不僅是浮世繪中風景畫的代表名作之一，也是江戶時代旅行文化的重要寫照，歌川國芳與他是浮世繪重要畫派「歌川派」的同門師兄弟，在1848-1850年間，以自己擅長的橫幅三聯版畫形式，也就是三張相連的「大判」尺寸版畫，創作這幅寬約78公分的畫作，用栩栩如生的貓咪動作來對應各站地名，幽默致敬了廣重的這套知名風景畫。
作品裡可以看到，畫師巧妙運用了日文裡的「雙關語音」將各個地名與貓的動作聯繫起來，為畫面增添諧趣與象徵意涵。例如，東海道起點「日本橋」（にほんばし），在日語發音裡聽起來很像「二本鰹節」（にほんだし），意思是「兩條柴魚乾」，所以畫中代表日本橋的貓，嘴裡就剛好叼著兩條柴魚乾，以此暗示該地名 ; 地名：品川的日語諧音「白顏」（しながわ／しらがお），畫中對應的白色花貓便以雪白面孔示人。畫裡的每隻貓身旁還貼有紅色長方形標籤，標示相關的站名或諧音字句註解，讓能識讀日文字的觀眾一看，便能讀懂諧音，會心一笑。
江戶時代的浮世繪師們，彼此之間極少有公開評論對方作品的情況，尤其是類似戲仿致敬的創作，大部分都會被視為友好幽默的玩味，並不會引發嚴肅的批評。國芳的這套貓咪戲作，本質上是對廣重經典名作的诙諧致敬，當時浮世繪界對此類遊戲性的可愛戲畫，是抱持著歡迎態度，也符合了浮世繪「人生短暫，輕鬆享樂」的率性。"
I029,C029,12,《名所江戶百景 夏部 大橋安宅之夕立》&《在雨中》,"1886-1887年，梵谷旅居巴黎期間接觸到日本藝術熱潮（Japonisme），開始大量收集日本浮世繪版畫，在臨摹歌川廣重的《名所江戶百景 夏部 大橋安宅之夕立》時，梵谷正處於風格轉折期：他剛脫離荷蘭時期的灰暗色調，受巴黎印象派影響，開始使用明亮色彩，此時西方傳入日本浮世繪的刺激，正好為他提供了全新的構圖與表現靈感。

縱觀兩幅描繪同樣主題的畫作，呈現出的情調仍舊略有不同，日本的歌川廣重使用的是版畫，著重於江戶風情與自然詩意：畫面裡一名船夫乘著木筏，遠處的岸上風景沒入雨中，橋上人們穿戴蓑衣，趕路躲雨，整個畫面被橋樑、河川與天空劃分為三部份，橫亙視覺的大橋，成了引導動線，而天空灰暗的降雨雲層，也使用了漸變暈染的技巧呈現層次感，畫面雖有緊張急促的人物動態，整體色彩和構圖仍給人一種經典浮世繪風景裡的寧靜與克制之美，而西方梵谷則是使用油畫，用色鮮豔明亮，筆觸更為奔放，流露出更強烈的視覺效果和情緒張力，尤其是雨滴的線條在他筆下顯得更為粗獷。

梵谷將廣重作品視為良師，通過再創作向其致敬，同時塑造出融合自身風格的新作品。用西方文化裡的繪畫語彙，重現東方原作，見證了浮世繪對印象派的深遠影響，也讓觀展者感受到一種融合東西方的獨特氛圍：既有日本美學的構圖意境，也滲透著印象派畫家的主觀情感表達。"
I001,C001,13,浮世繪,"歷經約260年的浮世繪，在明治維新後，因為攝影和媒體興起而逐漸式微，然而也因為東西文化交流，啟發更多藝術創作，在時間洪流中陪伴著世人前行，和日本社會文化緊密相扣，成為影響深遠的文化資產。而縱觀整個浮世繪歷史中，重要的傑出畫師，更像是夜空星光一樣，點亮整個浮世繪歷史，直到現代。

以寫實生動的筆觸捕捉女性神韻的喜多川歌麿，開創了著重臉部的上半身特寫主題，也就是「大首繪」，他的美人畫大首繪筆觸纖細高雅，神情生動，探究更深層的女性之美，尤其是《當世三美人》作品，奠定了美人畫在浮世繪中的地位。

才華洋溢的葛飾北齋，曾經在參加將軍德川家齊舉辦的繪畫比賽時，將一隻雞爪塗上紅漆，並追著雞在畫紙上跑，最後完成一幅描繪紅色楓葉飄在河川上的風景畫，如此創意立刻奪得比賽冠軍，他的個性也十分率性瀟灑，光是搬家就搬了90多次，名號也更改了30多次，從 1805 年開始，才正式號為：「葛飾北齋」，用過的名號還包括「畫狂老人」、「月癡老人」、「穿山甲」等，各種符合當時心境的有趣名號，每次改名，他的畫風和技法也會跟著改變，終其一生作畫長達七十年之久，作品題材多元，從早年的役者畫、美人畫、風景畫、文學插圖、漫畫..等，各種題材都相當擅長，風格多變，構圖大膽，用色鮮豔，尤其是晚年以富士山為主題的《富嶽三十六景》，更是浮世繪中知名度最高的系列作品之一。

浮世繪歌川派中有許多相當知名的傑出畫師，繼承了創辦人「豐國」名號，被稱作「第三代豐國」的歌川國貞，筆下的版畫數量超過數萬幅，堪稱浮世繪版畫作品數量第一，擅長役者畫及美人畫，筆觸工整精細，在畫歌舞伎演員時會和演員聊天對話，並從對話過程中捕捉對方神情，化為紙上生動傳神的作品，描繪的女性不同於傳統中過於理想化的美人，帶著人間煙火氣，更加打動人心。
他和當時擅長風景畫的歌川廣重，以及專精武者繪的歌川國芳，被世人稱為「幕末浮世繪三傑」。

在浮世繪悠長的歷史裡，讓人猜不透身份的神秘畫師，便是東州齋寫樂，作品特色是毫無美化過的役者繪，像是關掉美顏濾鏡的真實相機鏡頭，他將臉上的細紋、下垂和誇張表情等都毫不修飾的畫出來，新穎又直接的畫風在當時成為話題，他僅在1794年前後短暫活躍過，猶如一道璀璨彗星，短暫畫過浮世繪夜空，直到他停筆約五十年過後，才由學者考證提出，他的真實身份是一位能劇演員，畫役者繪是他在演員非演出期的副業，這個說法現今也被認為具有高度可信性，為他真實身分的爭論劃下句點。

江戶時代末期的浮世繪風景畫家歌川廣重，熱愛旅行與風景，他筆下風景清新柔和，富有詩意，尤其是他特別愛用當時傳進日本的西方顏料「普魯士藍」，成熟又富有層次感的掌握度，獲得了「廣重藍」的美名，不僅是影響日本浮世繪風景畫，更深深影響了19世紀的印象派畫家，梵谷、莫內等人都曾由他的作品中獲得靈感創作。

熱愛武者繪的歌川國芳，則是以英雄豪傑、妖怪鬼神、諷刺漫畫等，畫中時常以奇幻戲謔、充滿想像力的妖怪幽靈、怪奇人物為主，創作出許多充滿奇思妙想的主題創作，在藝術史上常被稱為「妖怪浮世繪大師」，作品常以三聯版畫構成巨型場景，氣勢滂薄，他極具想像力和故事性的畫風，對後世日本漫畫、插畫等視覺藝術影響深遠，直至現代，回看歌川國芳的作品，仍然為之撼動不已。"
I002,C002,14,浮世繪的畫家們,歷經約260年的浮世繪，在明治維新後，因為攝影和媒體興起而逐漸式微，然而也因為東西文化交流，啟發更多藝術創作，在時間洪流中陪伴著世人前行，和日本社會文化緊密相扣，成為影響深遠的文化資產。而縱觀整個浮世繪歷史中，重要的傑出畫師，更像是夜空星光一樣，點亮整個浮世繪歷史，直到現代。
I003,C003,15,畫家介紹－東州齋寫樂,在浮世繪悠長的歷史裡，讓人猜不透身份的神秘畫師，便是東州齋寫樂，作品特色是毫無美化過的役者繪，像是關掉美顏濾鏡的真實相機鏡頭，他將臉上的細紋、下垂和誇張表情等都毫不修飾的畫出來，新穎又直接的畫風在當時成為話題，他僅在1794年前後短暫活躍過，猶如一道璀璨彗星，短暫畫過浮世繪夜空，直到他停筆約五十年過後，才由學者考證提出，他的真實身份是一位能劇演員，畫役者繪是他在演員非演出期的副業，這個說法現今也被認為具有高度可信性，為他真實身分的爭論劃下句點。
I004,C004,16,畫家介紹－喜多川歌麿,以寫實生動的筆觸捕捉女性神韻的喜多川歌麿，開創了著重臉部的上半身特寫主題，也就是「大首繪」，他的美人畫大首繪筆觸纖細高雅，神情生動，探究更深層的女性之美，尤其是《當世三美人》作品，奠定了美人畫在浮世繪中的地位。
I005,C005,17,畫家介紹－歌川國貞,"浮世繪歌川派中有許多相當知名的傑出畫師，繼承了創辦人「豐國」名號，被稱作「第三代豐國」的歌川國貞，筆下的版畫數量超過數萬幅，堪稱浮世繪版畫作品數量第一，擅長役者畫及美人畫，筆觸工整精細，在畫歌舞伎演員時會和演員聊天對話，並從對話過程中捕捉對方神情，化為紙上生動傳神的作品，描繪的女性不同於傳統中過於理想化的美人，帶著人間煙火氣，更加打動人心。
他和當時擅長風景畫的歌川廣重，以及專精武者繪的歌川國芳，被世人稱為「幕末浮世繪三傑」。"
I006,C006,18,畫家介紹－歌川國芳,熱愛武者繪的歌川國芳，則是以英雄豪傑、妖怪鬼神、諷刺漫畫等，畫中時常以奇幻戲謔、充滿想像力的妖怪幽靈、怪奇人物為主，創作出許多充滿奇思妙想的主題創作，在藝術史上常被稱為「妖怪浮世繪大師」，作品常以三聯版畫構成巨型場景，氣勢滂薄，他極具想像力和故事性的畫風，對後世日本漫畫、插畫等視覺藝術影響深遠，直至現代，回看歌川國芳的作品，仍然為之撼動不已。
I007,C007,19,畫家介紹－歌川廣重,江戶時代末期的浮世繪風景畫家歌川廣重，熱愛旅行與風景，他筆下風景清新柔和，富有詩意，尤其是他特別愛用當時傳進日本的西方顏料「普魯士藍」，成熟又富有層次感的掌握度，獲得了「廣重藍」的美名，不僅是影響日本浮世繪風景畫，更深深影響了19世紀的印象派畫家，梵谷、莫內等人都曾由他的作品中獲得靈感創作。
I008,C008,20,畫家介紹－葛飾北齋,才華洋溢的葛飾北齋，曾經在參加將軍德川家齊舉辦的繪畫比賽時，將一隻雞爪塗上紅漆，並追著雞在畫紙上跑，最後完成一幅描繪紅色楓葉飄在河川上的風景畫，如此創意立刻奪得比賽冠軍，他的個性也十分率性瀟灑，光是搬家就搬了90多次，名號也更改了30多次，從 1805 年開始，才正式號為：「葛飾北齋」，用過的名號還包括「畫狂老人」、「月癡老人」、「穿山甲」等，各種符合當時心境的有趣名號，每次改名，他的畫風和技法也會跟著改變，終其一生作畫長達七十年之久，作品題材多元，從早年的役者畫、美人畫、風景畫、文學插圖、漫畫..等，各種題材都相當擅長，風格多變，構圖大膽，用色鮮豔，尤其是晚年以富士山為主題的《富嶽三十六景》，更是浮世繪中知名度最高的系列作品之一。
I009,C009,21,展區－眺,"「眺」展區是以名勝風景為主題的「名所繪」，邀請觀展者跨入浮世繪世界的大門。

在這個展區裡，有葛飾北齋以富士山為主題的《富嶽三十六景 ：江戸日本橋》，從日本橋的繁忙街景，帶領觀展者展開浮世繪旅程，橋上人潮熙攘，橋下的河面上，商船穿梭，遠處可見到象徵幕府的江戶城天守，以及聳立於天際的富士山，還有歌川廣重的《六十餘州名所圖會： 甲州犬目峠》，描繪旅人登山遠眺的富士山景，富士山逐漸從雲後顯露並被朝陽染紅，和日本橋繁華的都市景象呈現對比，以及《名所江戶百景》系列中的《大橋安宅之夕立》，描繪大雨傾盆中的鄉野驛站，和《東海道五十三次》系列，可以盡情欣賞隨著四季更迭，時間變化的日本景點。

融合了寫實觀察與詩意想像，遠眺浮世繪中的名勝風景，透過展間，江戶風景走出畫板，跨越時空，連綿延伸，營造出深邃且充滿張力的畫面空間，觀展者們彷彿一同陪伴著浮世繪大師旅行各地，眺望欣賞大師們實地寫生過的風景，沈浸體驗百年前名作誕生的相同視角。


即便浮世短暫，透過藝術大師們的筆下，天地萬物皆可永恆流傳。"
I011,C011,22,展區－麗,"「麗」展區是以女性形象為主題的「美人繪」，邀請觀展者走進落英繽紛的浮世繪花園。

在這個展區裡有喜多川歌麿以美人上半身特寫的「大首繪」，作品：《寛政三美人》，又名「當世三美人」，女人們臉上細長的眼眸和柔美神情，柔順飄落於臉龐的纖細髮絲，各自神采，又互相襯托，是浮世繪美人畫的代表作，還有歌川國貞筆下的《江戶名所百人美女》，每幅畫將江戶著名景點與一位當地美女結合呈現，美人姿態嫵媚慵懶，和服裝飾華美講究，展示女性風姿，也映照所在地的風土人情。

美人畫的精髓在於「線條」，浮世繪畫師們透過一筆筆纖細的線條，勾勒出細膩的人物輪廓，尤其是畫中女性的秀髮，猶如沉思中的眼波流轉，以及繁複華麗的衣著質感，這些精緻的筆觸，展現了即便不使用繪畫中表達陰影深淺的技巧，也能創造立體感的浮世繪畫技。

在這個由美麗花卉與女性圖像構成的展區裡，江戶美人們與背景名勝圖案交疊變換，仿佛跨越空間聚集，有的撐著油紙傘漫步，有的憑欄遠眺，浮世繪大師們筆下的畫中美人，從畫裡走出，如同穿行於江戶城內外，與觀展者們一同徜徉於柔美雅緻的視覺氛圍裡，感受著日式美學裡女性們喜悅、憤怒、悲傷與幸福等各種情緒。


在繁花盛開之時，走進浮生若夢，領略和風優雅之美。"
